1.000	0.715	0.786	0.029	0.012	续表
1.000	0.133	0.760	0.031	0.012	项目
1.000	0.294	0.760	0.070	0.012	与健康关系
1.000	0.546	0.760	0.058	0.012	证据来源
0.500	0.698	0.767	0.064	0.012	证据级别/
1.000	0.702	0.753	0.056	0.012	可信等级
0.500	0.472	0.731	0.209	0.012	6篇荟萃分析，6项系统综述，20
1.000	0.199	0.717	0.230	0.013	增加摄入可降低心血管疾病的发病风险
0.500	0.474	0.718	0.209	0.010	项RCT研究，14项队列研究，1
1.000	0.725	0.719	0.010	0.009	B
1.000	0.133	0.699	0.029	0.012	水果
0.500	0.472	0.703	0.082	0.012	项横断面研究
0.500	0.201	0.680	0.483	0.012	增加摄入可降低主要消化道癌症（食管癌、4篇Meta 分析，7项队列研究，8
1.000	0.199	0.664	0.177	0.015	胃癌、结直肠癌）的发病风险
1.000	0.470	0.666	0.099	0.012	项病例对照研究
1.000	0.725	0.674	0.010	0.010	B
0.500	0.257	0.632	0.357	0.013	表1-27 奶类及其制品、大豆及其制品和坚果与健康的关系
1.000	0.294	0.602	0.070	0.013	与健康关系
1.000	0.548	0.602	0.055	0.012	证据来源
0.500	0.698	0.609	0.064	0.012	证据级别/
1.000	0.702	0.594	0.055	0.012	可信等级
1.000	0.201	0.570	0.255	0.015	牛奶及其制品摄入可增加儿童、青少年及绝
0.500	0.472	0.573	0.209	0.012	2篇Meta 分析，1篇系统评价，5
1.000	0.127	0.554	0.041	0.012	奶类及
0.500	0.201	0.558	0.107	0.010	经后妇女的骨密度
1.000	0.470	0.558	0.072	0.012	项队列研究
1.000	0.127	0.539	0.041	0.012	其制品
1.000	0.199	0.533	0.257	0.013	奶类及其制品摄入可能与前列腺癌、乳腺癌
0.500	0.472	0.535	0.211	0.012	5篇Meta分析，7项队列研究，5
1.000	0.199	0.520	0.082	0.012	发病风险无关
0.500	0.472	0.519	0.203	0.013	项病例对照研究，1项横断面研究
1.000	0.725	0.529	0.010	0.010	B
1.000	0.201	0.491	0.187	0.010	酸奶摄入可改善乳糖不耐受症状
0.500	0.470	0.497	0.209	0.013	1项RCT研究，1项自身前后对照
0.500	0.472	0.481	0.146	0.013	研究，5项交叉设计研究
1.000	0.725	0.493	0.010	0.009	B
1.000	0.133	0.472	0.029	0.012	酸奶
1.000	0.199	0.453	0.121	0.012	酸奶摄入可改善便秘
0.500	0.472	0.461	0.207	0.012	17项RCT研究，1项半随机对照
0.500	0.470	0.445	0.162	0.013	试验研究，1项横断面研究
0.500	0.041	0.375	0.016	0.124	中国居民膳食指南（2022）
1.000	0.127	0.413	0.041	0.012	大豆及
1.000	0.203	0.424	0.253	0.010	可降低绝经前和绝经后女性乳腺癌的发病风
1.000	0.127	0.398	0.041	0.010	其制品
1.000	0.199	0.408	0.016	0.012	险
0.500	0.470	0.414	0.181	0.013	13 篇系统综述，2项病例对照
0.500	0.725	0.419	0.010	0.009	B
1.000	0.201	0.385	0.255	0.013	可降低绝经前、后女性骨质疏松的发病风险
0.500	0.470	0.385	0.201	0.013	6 篇系统综述，1项随机对照研究
1.000	0.725	0.388	0.010	0.009	B
0.500	0.472	0.363	0.209	0.013	心血管疾病发生：2篇Meta 分析，
1.000	0.201	0.342	0.201	0.012	可降低心血管疾病发病和死亡风险
0.500	0.472	0.350	0.080	0.010	1项队列研究
0.500	0.472	0.333	0.209	0.013	心血管疾病死亡：8篇 Meta 分析，
0.300	0.725	0.344	0.010	0.009	B
1.000	0.133	0.313	0.029	0.012	坚果
1.000	0.470	0.319	0.082	0.013	1 项队列研究
1.000	0.203	0.291	0.117	0.012	可降低全因死亡风险
0.500	0.474	0.297	0.207	0.013	全因死亡：4篇Meta分析，2项
1.000	0.470	0.282	0.060	0.013	队列研究
1.000	0.725	0.292	0.010	0.009	B
1.000	0.201	0.260	0.201	0.012	可降低总胆固醇和甘油三酯的浓度
0.500	0.470	0.260	0.082	0.012	7个系统评价
1.000	0.725	0.262	0.010	0.010	B
0.500	0.138	0.217	0.238	0.015	1. 蔬菜摄入（量）与健康关系
0.500	0.136	0.196	0.634	0.016	（1）增加蔬菜摄入量可降低心血管疾病发病和死亡风险：综合6篇蔬菜与心血
0.500	0.105	0.176	0.667	0.016	管疾病（CVDs）关联文献（来自欧洲、美国、中国、日本人群的队列研究）的Meta
0.500	0.103	0.155	0.667	0.016	分析，结果表明每增加80g/d蔬菜摄人，心血管疾病发病风险降低13%（RR=0.87；
0.500	0.103	0.134	0.667	0.017	95%C:0.83~0.91），这与《中国居民膳食指南（2016）》的相关证据一致，研究也表
0.500	0.105	0.115	0.665	0.016	明每增加1份（约80g）蔬菜摄入，CVDs的死亡风险减低10% （RR=0.90；95%CI：
0.500	0.103	0.094	0.667	0.016	0.87~0.93），脑卒中的死亡风险降低13%（RR=0.87，95%CI:0.79~0.96），冠心病
0.500	0.101	0.076	0.476	0.015	（CHD）的死亡风险降低16%（RR=0.84,95%CI:0.79~0.90）。
0.500	0.039	0.042	0.021	0.009	00
